choice, accuracy, solution,  reward, cumulative_reward, rt,  total_trial_time, iti, cp_with_slow_fast
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000000e+01,7.706000000000000000e+03,2.503259181976318359e-01,1.603989124298095703e+00,3.670425023139516352e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,7.771000000000000000e+03,2.947449684143066406e-01,1.934515953063964844e+00,6.346735499260689473e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.300000000000000000e+01,7.834000000000000000e+03,2.544620037078857422e-01,1.525121927261352539e+00,2.769226654799526455e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000000e+01,7.898000000000000000e+03,3.329279422760009766e-01,1.774240016937255859e+00,4.510803630119382124e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.300000000000000000e+01,7.961000000000000000e+03,2.775769233703613281e-01,1.737269878387451172e+00,4.716854881412015921e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.400000000000000000e+01,8.025000000000000000e+03,3.173019886016845703e-01,1.848681211471557617e+00,5.370408396951464880e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+01,8.085000000000000000e+03,3.283829689025878906e-01,1.858855009078979492e+00,5.293612539976348952e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000000e+01,8.149000000000000000e+03,2.793970108032226562e-01,1.825286865234375000e+00,5.546658220066362777e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.600000000000000000e+01,8.215000000000000000e+03,2.881419658660888672e-01,1.568764209747314453e+00,2.904378111838280541e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000000e+01,8.279000000000000000e+03,2.605080604553222656e-01,1.801275014877319336e+00,5.581513296963405146e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.300000000000000000e+01,8.342000000000000000e+03,3.236079216003417969e-01,2.025543928146362305e+00,7.169487711182186418e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.300000000000000000e+01,8.405000000000000000e+03,3.394100666046142578e-01,1.714280843734741211e+00,3.816627259329488098e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000000e+01,8.469000000000000000e+03,2.823929786682128906e-01,1.843990087509155273e+00,5.755542649641751662e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+01,8.534000000000000000e+03,2.775070667266845703e-01,1.599072933197021484e+00,3.415878144027429952e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.200000000000000000e+01,8.596000000000000000e+03,3.015201091766357422e-01,1.941955089569091797e+00,6.499532812786354974e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01,8.634000000000000000e+03,3.025748729705810547e-01,1.893461942672729492e+00,5.935638515222501077e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+01,8.694000000000000000e+03,4.793751239776611328e-01,2.120376110076904297e+00,6.472902035293230938e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+01,8.754000000000000000e+03,2.997500896453857422e-01,1.682927846908569336e+00,3.972169613578316882e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.100000000000000000e+01,8.815000000000000000e+03,3.104867935180664062e-01,1.873366117477416992e+00,5.871415775218632449e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.200000000000000000e+01,8.877000000000000000e+03,2.642898559570312500e-01,1.657978057861328125e+00,3.953798647018508805e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+01,8.937000000000000000e+03,2.663381099700927734e-01,1.618680000305175781e+00,3.642243588764745854e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,8.996000000000000000e+03,3.285958766937255859e-01,1.622910976409912109e+00,3.039089610783743400e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000000e+01,9.060000000000000000e+03,2.983570098876953125e-01,1.599265098571777344e+00,3.032036178552219297e-01,0.000000000000000000e+00
